file_name,status,num_islands,rows_retained,alert_type,max_gap_before,max_gap_after,clipping_density,features_healed,healing_details,integrity_comment
2023-08-14_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-08-20_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0868%,,,Passed
2023-08-19_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-08-21_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-08-22_BTCUSDT_ob500.data.zip,VALID,1,288,HIGH_TAIL_VOL,5.00,0.00,0.0289%,,,Passed
2023-08-18_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0000%,,,Passed
2023-08-24_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0000%,,,Passed
2023-08-17_BTCUSDT_ob500.data.zip,VALID,1,288,HIGH_TAIL_VOL,5.00,0.00,0.0289%,,,Passed
2023-08-27_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0000%,,,Passed
2023-08-23_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-09-02_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.1157%,,,Passed
2023-08-26_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0868%,,,Passed
2023-08-25_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-08-31_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-09-01_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-08-28_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-09-09_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-09-05_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-09-03_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-08-30_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-09-08_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0000%,,,Passed
2023-08-29_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-09-04_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0000%,,,Passed
2023-09-07_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0000%,,,Passed
2023-09-06_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-09-13_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0868%,,,Passed
2023-09-10_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-09-12_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
